Schedule,MinPct,SL,Step,Buffer,FinalBal,NetProfit,MaxDD_D,MaxDD_Pct,Calmar,CAGR,Trades,SuperDumps,LossStreak,Survived
S1_Micro_Survive,0.5,15.0,5.0,1.0,9516.301999999972,7516.301999999972,2557.5100000000016,82.95168679122405,2.938914021841544,19.637261124793405,190,35,27,False
S1_Micro_Survive,0.5,15.0,5.0,2.0,4877.897999999996,2877.8979999999956,2174.310000000001,80.13664778035813,1.3235913922117797,10.791402385753933,190,31,25,False
S1_Micro_Survive,0.5,15.0,7.5,1.0,16830.541999999958,14830.541999999958,2436.7399999999925,46.58761688600646,6.086222576064744,27.74081050342392,190,32,27,False
S1_Micro_Survive,0.5,15.0,7.5,2.0,14447.860999999959,12447.860999999959,2193.2530000000006,42.38194617553343,5.6755244379011245,25.5190386959276,190,30,27,False
S1_Micro_Survive,0.5,15.0,10.0,1.0,10452.346999999958,8452.346999999958,3160.036999999994,53.35616791305291,2.674762036014127,20.934402927333906,190,26,27,False
S1_Micro_Survive,0.5,15.0,10.0,2.0,8295.32399999996,6295.3239999999605,2899.100999999996,63.84749810875723,2.1714745364166235,17.76381875828592,190,24,26,False
S1_Micro_Survive,0.5,20.0,5.0,1.0,9469.316999999974,7469.316999999974,3172.5300000000016,95.09505968975776,2.354372377881366,19.5692172511283,190,38,27,False
S1_Micro_Survive,0.5,20.0,5.0,2.0,4895.912999999997,2895.912999999997,2789.310000000001,94.83358877871717,1.038218412438917,10.838357147124844,190,34,25,False
S1_Micro_Survive,0.5,20.0,7.5,1.0,16532.19699999996,14532.19699999996,3175.914999999992,43.004261833697825,4.57575124019377,27.47847158727792,190,36,27,False
S1_Micro_Survive,0.5,20.0,7.5,2.0,14229.51599999996,12229.51599999996,2902.243999999995,53.21995855720385,4.213813862652478,25.299529591022484,190,34,27,False
S1_Micro_Survive,0.5,20.0,10.0,1.0,9902.559999999961,7902.559999999961,3933.711999999993,54.389291023644326,2.0089320214596227,20.18564116924264,190,28,27,False
S1_Micro_Survive,0.5,20.0,10.0,2.0,7808.536999999965,5808.536999999965,3690.7759999999953,77.95405395187254,1.5737983014953962,16.94807196118042,190,26,26,False
S1_Micro_Survive,0.5,25.0,5.0,1.0,9396.376999999973,7396.376999999973,3578.4500000000016,97.52811757065068,2.066921991364968,19.462990896203557,190,39,27,False
S1_Micro_Survive,0.5,25.0,5.0,2.0,4878.972999999996,2878.9729999999963,3168.450000000001,95.91284068742306,0.9086376619482698,10.79420859599811,190,35,25,False
S1_Micro_Survive,0.5,25.0,7.5,1.0,16232.541999999958,14232.541999999958,3752.6149999999943,44.32206561779638,3.792699757369189,27.210728638636006,190,37,27,False
S1_Micro_Survive,0.5,25.0,7.5,2.0,13964.860999999957,11964.860999999957,3468.943999999995,59.75431262052469,3.449136394245619,25.029431178298857,190,35,27,False
S1_Micro_Survive,0.5,25.0,10.0,1.0,9445.404999999962,7445.4049999999625,4575.411999999993,61.07017071546572,1.6272643862454297,19.534472980911776,190,29,27,False
S1_Micro_Survive,0.5,25.0,10.0,2.0,7386.381999999962,5386.381999999962,4322.475999999996,86.1205738560993,1.246133466096739,16.20333546420667,190,27,26,False
S1_Micro_Survive,0.8,15.0,5.0,1.0,10019.619999999979,8019.619999999979,2240.510000000002,69.27020049776615,3.57937255357038,20.34809626521279,159,32,23,False
S1_Micro_Survive,0.8,15.0,5.0,2.0,5498.207000000002,3498.207000000002,1889.3100000000009,62.58973643741612,1.8515791479429,12.32637267806631,159,28,22,False
S1_Micro_Survive,0.8,15.0,7.5,1.0,16846.952999999965,14846.952999999965,2149.4239999999972,37.52265361554831,6.907410078234905,27.755121175680465,159,28,25,False
S1_Micro_Survive,0.8,15.0,7.5,2.0,14869.498999999965,12869.498999999965,1918.2529999999997,37.45411597295223,6.708968525006851,25.93474188049767,159,26,25,False
S1_Micro_Survive,0.8,15.0,10.0,1.0,10594.318999999967,8594.318999999967,2710.036999999993,42.945549816846636,3.171292126269859,21.12208524901873,159,21,25,False
S1_Micro_Survive,0.8,15.0,10.0,2.0,8397.29599999997,6397.295999999969,2454.1009999999956,57.370482815629195,2.606777797653797,17.929315497159948,159,19,24,False
S1_Micro_Survive,0.8,20.0,5.0,1.0,10081.099999999982,8081.099999999982,2780.5300000000016,78.97101634502037,2.906316421689382,20.432746127941527,159,35,23,False
S1_Micro_Survive,0.8,20.0,5.0,2.0,5624.687000000005,3624.6870000000054,2429.310000000001,74.06338089573225,1.4920644133519412,12.620396852142202,159,31,22,False
S1_Micro_Survive,0.8,20.0,7.5,1.0,16682.297999999966,14682.297999999966,2654.1049999999923,34.41105424997946,5.531920553256186,27.61097653372635,159,32,25,False
S1_Micro_Survive,0.8,20.0,7.5,2.0,14784.843999999968,12784.843999999968,2418.1179999999986,44.43584846093708,5.287105095781089,25.85212300315851,159,30,25,False
S1_Micro_Survive,0.8,20.0,10.0,1.0,10169.736999999968,8169.736999999968,3391.901999999992,48.36675493759402,2.408600543293995,20.55398689874748,159,23,25,False
S1_Micro_Survive,0.8,20.0,10.0,2.0,8035.713999999972,6035.713999999972,3153.965999999994,70.01158733118443,1.9136902553800463,17.33420966446655,159,21,24,False
S1_Micro_Survive,0.8,25.0,5.0,1.0,9911.319999999982,7911.3199999999815,3214.4500000000016,84.92400444903542,2.4611737622299237,20.19785691552127,159,36,23,False
S1_Micro_Survive,0.8,25.0,5.0,2.0,5497.907000000003,3497.907000000003,2840.450000000001,79.68938408181778,1.2314622683025582,12.325668190817375,159,32,22,False
S1_Micro_Survive,0.8,25.0,7.5,1.0,16343.802999999964,14343.802999999964,3200.804999999992,40.154881078609925,4.481311107674475,27.310647454742455,159,33,25,False
S1_Micro_Survive,0.8,25.0,7.5,2.0,14476.348999999966,12476.348999999966,2927.1339999999955,51.128772757768736,4.262308797615683,25.54746170866209,159,31,25,False
S1_Micro_Survive,0.8,25.0,10.0,1.0,9693.74199999997,7693.741999999969,3983.6019999999935,55.30027830590989,1.9313530819594884,19.89157725902495,159,24,25,False
S1_Micro_Survive,0.8,25.0,10.0,2.0,7589.718999999971,5589.718999999971,3740.6659999999947,79.24090560042356,1.4943111734648264,16.566623977417173,159,22,24,False
S1_Micro_Survive,1.0,15.0,5.0,1.0,10257.236999999976,8257.236999999976,2017.2100000000014,62.76777376829122,4.0933948374239515,20.672758563296046,145,31,22,False
S1_Micro_Survive,1.0,15.0,5.0,2.0,5705.349,3705.349,1679.0100000000007,56.24062940895095,2.2068653551795396,12.804867924614838,145,27,21,False
S1_Micro_Survive,1.0,15.0,7.5,1.0,13939.028999999973,11939.028999999973,2023.123999999998,35.96275895235445,5.90128385605627,25.00282575385848,145,25,24,False
S1_Micro_Survive,1.0,15.0,7.5,2.0,12044.074999999975,10044.074999999975,1791.9529999999995,34.575905364499825,5.6050995757143065,22.920886738495327,145,24,24,False
S1_Micro_Survive,1.0,15.0,10.0,1.0,10807.17999999996,8807.17999999996,2451.7369999999937,45.67365669824678,3.592220535889446,21.399351440358693,145,20,24,False
S1_Micro_Survive,1.0,15.0,10.0,2.0,8593.156999999965,6593.156999999965,2182.8009999999954,50.973845674581085,3.0205030142463647,18.242262194036265,145,18,23,False
S1_Micro_Survive,1.0,20.0,5.0,1.0,10368.716999999979,8368.716999999979,2507.2300000000014,71.62967853595163,3.3378337846946526,20.82278816705947,145,34,22,False
S1_Micro_Survive,1.0,20.0,5.0,2.0,5881.829000000003,3881.8290000000034,2169.0100000000007,66.80281771692475,1.7896777792633516,13.200553813622573,145,30,21,False
S1_Micro_Survive,1.0,20.0,7.5,1.0,13824.373999999976,11824.373999999976,2497.988999999996,32.07073206711156,4.733557273470778,24.884208679471477,145,29,24,False
S1_Micro_Survive,1.0,20.0,7.5,2.0,12009.419999999978,10009.419999999978,2266.8179999999993,41.193347330867475,4.415625780278779,22.880181291899483,145,28,24,False
S1_Micro_Survive,1.0,20.0,10.0,1.0,10430.992999999966,8430.992999999966,3083.6019999999926,43.920730226532825,2.734137868635442,20.90597867857198,145,22,24,False
S1_Micro_Survive,1.0,20.0,10.0,2.0,8279.969999999968,6279.969999999968,2832.665999999994,62.838152602245415,2.2169821645050924,17.738743997218066,145,20,23,False
S1_Micro_Survive,1.0,25.0,5.0,1.0,10248.936999999978,8248.936999999978,2891.1500000000015,76.80226925515754,2.853168116493428,20.661530799775953,145,35,22,False
S1_Micro_Survive,1.0,25.0,5.0,2.0,5805.049000000003,3805.0490000000027,2530.150000000001,71.6503872289764,1.5038827737485925,13.029714734555498,145,31,21,False
S1_Micro_Survive,1.0,25.0,7.5,1.0,13535.878999999974,11535.878999999974,2947.004999999993,36.62147747217538,3.914441611059364,24.581847331026797,145,30,24,False
S1_Micro_Survive,1.0,25.0,7.5,2.0,11750.924999999977,9750.924999999977,2640.8339999999944,45.64116736048705,3.6923657450638694,22.573232352441398,145,29,24,False
S1_Micro_Survive,1.0,25.0,10.0,1.0,10004.997999999963,8004.997999999963,3625.3019999999924,50.27084367555331,2.208091353492752,20.327896043592332,145,23,24,False
S1_Micro_Survive,1.0,25.0,10.0,2.0,7883.974999999967,5883.974999999967,3369.3659999999945,71.33075520457885,1.7463151821440521,17.077385753589592,145,21,23,False
S1_Micro_Survive,1.5,15.0,5.0,1.0,8983.588999999969,6983.588999999969,1432.4900000000016,49.527386156229625,4.875139791551747,18.847702526240575,101,23,17,False
S1_Micro_Survive,1.5,15.0,5.0,2.0,4841.975999999992,2841.9759999999924,1106.4900000000016,35.85014536207028,2.568460627750805,10.697314398326663,101,22,17,False
S1_Micro_Survive,1.5,15.0,7.5,1.0,13383.681999999968,11383.681999999968,1463.4999999999982,28.13689232277018,7.778395626921751,24.420029620112494,101,20,19,False
S1_Micro_Survive,1.5,15.0,7.5,2.0,11344.72799999997,9344.72799999997,1275.3290000000006,25.577619279787694,7.3273076986408725,22.078603000202634,101,19,19,False
S1_Micro_Survive,1.5,15.0,10.0,1.0,11572.99299999997,9572.99299999997,1475.2969999999987,35.513256813130546,6.488858175675798,22.35845593605543,101,16,19,False
S1_Micro_Survive,1.5,15.0,10.0,2.0,9431.37399999997,7431.373999999971,1243.3610000000008,34.03187309299894,5.976843410723005,19.514049600650885,101,14,18,False
S1_Micro_Survive,1.5,20.0,5.0,1.0,9294.95899999997,7294.95899999997,1747.4900000000016,54.54618098073808,4.174535476597842,19.314071161210332,101,26,17,False
S1_Micro_Survive,1.5,20.0,5.0,2.0,5218.345999999994,3218.345999999994,1421.4900000000016,42.14568247578194,2.2640651710529025,11.653899090049368,101,25,17,False
S1_Micro_Survive,1.5,20.0,7.5,1.0,13543.76199999997,11543.76199999997,1788.4999999999982,23.851865524871815,6.454437797036612,24.590184693389826,101,24,19,True
S1_Micro_Survive,1.5,20.0,7.5,2.0,11584.807999999972,9584.807999999972,1600.3290000000006,29.878105587308003,5.989273455645663,22.372807745044,101,23,19,False
S1_Micro_Survive,1.5,20.0,10.0,1.0,11471.54099999997,9471.54099999997,1856.112999999994,33.04428394624454,5.102890287390909,22.234684488021948,101,18,19,False
S1_Micro_Survive,1.5,20.0,10.0,2.0,9392.921999999971,7392.921999999971,1650.176999999996,36.52176164736633,4.480078197672122,19.457941116567913,101,16,18,False
S1_Micro_Survive,1.5,25.0,5.0,1.0,9287.23899999997,7287.2389999999705,1956.4100000000017,57.45884814453562,3.7248015497773803,19.302676487041893,101,27,17,False
S1_Micro_Survive,1.5,25.0,5.0,2.0,5253.625999999994,3253.625999999994,1617.4100000000017,44.87817844667629,2.011627231190601,11.74040675150545,101,26,17,False
S1_Micro_Survive,1.5,25.0,7.5,1.0,13442.32699999997,11442.32699999997,1985.199999999999,24.959819995591914,5.7638157364497165,24.482573640356176,101,25,19,True
S1_Micro_Survive,1.5,25.0,7.5,2.0,11513.37299999997,9513.37299999997,1792.0290000000014,31.99218846236106,5.3087159861810065,22.285836447936582,101,24,19,False
S1_Micro_Survive,1.5,25.0,10.0,1.0,11232.605999999969,9232.605999999969,2172.8129999999946,30.856549571627866,4.249148914333627,21.9393116461972,101,19,19,False
S1_Micro_Survive,1.5,25.0,10.0,2.0,9183.986999999972,7183.986999999972,1961.8769999999968,41.77669404255093,3.6617927627470954,19.149465754073415,101,17,18,False
S2_Balanced_Alpha,0.5,15.0,5.0,1.0,13766.188999999957,11766.188999999957,4078.8000000000025,109.33895343631741,2.8847182994998404,24.823679592821012,190,35,27,False
S2_Balanced_Alpha,0.5,15.0,5.0,2.0,6746.232999999995,4746.232999999995,3457.496000000001,109.44975909945612,1.3727370906575145,14.998786502678719,190,31,25,False
S2_Balanced_Alpha,0.5,15.0,7.5,1.0,25137.641999999934,23137.641999999934,3927.1179999999895,68.08701353203324,5.8917613374489886,33.76906588850366,190,32,27,False
S2_Balanced_Alpha,0.5,15.0,7.5,2.0,21538.723999999936,19538.723999999936,3448.818000000001,59.682274015343786,5.665339255362252,31.414269700811825,190,30,27,False
S2_Balanced_Alpha,0.5,15.0,10.0,1.0,15055.337999999934,13055.337999999934,5002.337999999991,78.82377732260585,2.6098472354327034,26.114660866920158,190,26,27,False
S2_Balanced_Alpha,0.5,15.0,10.0,2.0,11813.82699999994,9813.82699999994,4565.433999999994,75.52850153403769,2.1495934450043417,22.648471220163046,190,24,19,False
S2_Balanced_Alpha,0.5,20.0,5.0,1.0,13666.426999999961,11666.426999999961,5051.832000000002,122.59680907654256,2.309345797722481,24.71936957084635,190,38,27,False
S2_Balanced_Alpha,0.5,20.0,5.0,2.0,6746.470999999996,4746.470999999996,4446.832000000002,126.05992707694892,1.0673825770795915,14.999252821393384,190,34,25,False
S2_Balanced_Alpha,0.5,20.0,7.5,1.0,24612.617999999937,22612.617999999937,5094.29799999999,63.30604133407549,4.438809429680004,33.44492065071012,190,36,27,False
S2_Balanced_Alpha,0.5,20.0,7.5,2.0,21135.699999999935,19135.699999999935,4648.461999999992,61.86792484220119,4.1165658663015785,31.129261043777912,190,34,27,False
S2_Balanced_Alpha,0.5,20.0,10.0,1.0,14142.409999999938,12142.409999999938,6229.017999999991,76.4487506568873,1.9493297338360487,25.21112647958388,190,28,27,False
S2_Balanced_Alpha,0.5,20.0,10.0,2.0,10996.898999999943,8996.898999999943,5818.113999999992,91.90656738382296,1.546360040384213,21.642429399609142,190,26,19,False
S2_Balanced_Alpha,0.5,25.0,5.0,1.0,13553.122999999958,11553.122999999958,5690.904000000002,122.47837922063616,2.0301033016898464,24.600079668641285,190,39,27,False
S2_Balanced_Alpha,0.5,25.0,5.0,2.0,6719.166999999994,4719.166999999994,5045.904000000002,123.09118434707003,0.935247083575112,14.945660264044513,190,35,25,False
