timestamp,Open,High,Low,Close,Volume
2025-10-21 06:00:00,107537.12,108200.0,107499.19,107909.79,754.26623
2025-10-21 07:00:00,107909.79,108200.0,107645.21,108086.37,707.81305
2025-10-21 08:00:00,108086.38,108098.72,107484.22,107695.79,804.21106
2025-10-21 09:00:00,107695.79,107866.72,107540.09,107754.27,543.10308
2025-10-21 10:00:00,107754.27,108811.47,107580.0,108499.56,1096.0073
2025-10-21 11:00:00,108499.56,108639.76,108169.81,108580.01,546.40513
2025-10-21 12:00:00,108580.0,109485.78,108466.48,108793.4,1229.63283
2025-10-21 13:00:00,108793.39,108913.68,107922.06,108426.98,1261.1868
2025-10-21 14:00:00,108426.98,112290.31,108408.0,112170.52,3335.7283
2025-10-21 15:00:00,112170.52,113557.62,111716.91,113422.61,4175.55944
2025-10-21 16:00:00,113422.6,114000.0,112465.33,112565.88,2654.63776
2025-10-21 17:00:00,112565.88,112993.67,111813.18,111973.42,5531.17962
2025-10-21 18:00:00,111973.41,112297.14,111324.29,111990.55,1962.19243
2025-10-21 19:00:00,111990.55,112200.0,111562.94,111780.39,583.46835
2025-10-21 20:00:00,111780.4,111801.41,110554.22,110787.56,1166.16267
2025-10-21 21:00:00,110787.56,111111.0,110111.0,110816.32,986.90737
2025-10-21 22:00:00,110816.33,110816.33,108271.68,109066.98,2484.48697
2025-10-21 23:00:00,109066.98,109423.19,108045.81,108297.67,1531.00726
2025-10-22 00:00:00,108297.66,108643.61,107841.2,107986.14,1537.60176
2025-10-22 01:00:00,107986.15,108460.02,107986.14,108364.21,1493.26761
2025-10-22 02:00:00,108364.22,108678.21,108198.85,108198.85,699.65823
2025-10-22 03:00:00,108198.85,108219.12,107860.92,108216.02,1121.03699
2025-10-22 04:00:00,108216.03,108635.92,108162.09,108625.6,696.45277
2025-10-22 05:00:00,108625.61,108638.99,107879.93,108166.81,1434.44211
2025-10-22 06:00:00,108166.82,108331.75,107945.5,107980.02,675.25677
2025-10-22 07:00:00,107980.02,108321.64,107610.0,108321.63,1077.00799
2025-10-22 08:00:00,108321.64,108358.76,108079.86,108229.3,505.66169
2025-10-22 09:00:00,108229.3,108274.43,107773.89,107963.13,557.31037
2025-10-22 10:00:00,107963.12,108114.8,107650.0,107657.98,497.00462
2025-10-22 11:00:00,107657.98,108207.99,106708.18,107555.05,2452.68318
2025-10-22 12:00:00,107555.04,108399.0,107443.01,108044.96,841.76229
2025-10-22 13:00:00,108044.96,109014.34,107630.39,108783.36,1889.17586
2025-10-22 14:00:00,108783.35,108998.0,107500.0,108947.5,3240.71769
2025-10-22 15:00:00,108947.49,109163.88,107737.04,108416.5,1954.01743
2025-10-22 16:00:00,108416.5,108796.42,107877.27,108226.0,1590.12287
2025-10-22 17:00:00,108226.0,108339.89,107566.65,107778.45,913.68528
2025-10-22 18:00:00,107778.45,108200.0,107463.29,108023.33,668.80381
2025-10-22 19:00:00,108023.33,108411.61,107685.61,107870.35,835.44242
2025-10-22 20:00:00,107870.35,108069.93,107500.0,107696.03,1003.6717
2025-10-22 21:00:00,107696.03,107749.02,106666.69,107207.98,1548.13803
2025-10-22 22:00:00,107207.98,107683.25,106917.57,107196.82,742.32871
2025-10-22 23:00:00,107196.82,107946.15,107169.69,107567.44,635.53433
2025-10-23 00:00:00,107567.45,107980.52,107500.0,107845.3,396.0602
2025-10-23 01:00:00,107845.3,108500.0,107813.2,108150.0,1012.18554
2025-10-23 02:00:00,108150.01,108410.3,108058.66,108410.29,360.75702
2025-10-23 03:00:00,108410.29,108720.39,108323.59,108377.96,604.50041
