target,lot,step,max_l,mode,use_trix,net_profit,final_balance,max_dd_pct,harvest_count,total_trades,roi_pct
100.0,0.08,300.0,3,per_order,False,5599.221093750799,15599.221093750799,25.53378254326524,241,1277,55.99221093750799
100.0,0.08,300.0,4,per_order,False,5516.821093750797,15516.821093750797,25.738849061784087,241,1277,55.16821093750798
100.0,0.08,300.0,2,per_order,False,5451.219531250761,15451.219531250761,26.95291350299064,239,1247,54.51219531250761
100.0,0.08,300.0,4,basket,False,4753.617968750674,14753.617968750674,29.261924399492074,200,1242,47.53617968750674
100.0,0.08,300.0,3,basket,False,4753.617968750674,14753.617968750674,29.261924399492074,200,1242,47.53617968750674
100.0,0.08,300.0,2,basket,False,4752.818359375669,14752.81835937567,29.628195570947895,200,1231,47.528183593756694
100.0,0.1,300.0,2,per_order,False,4630.019042969652,14630.019042969652,39.34427385520634,253,1229,46.30019042969652
100.0,0.08,500.0,2,per_order,False,4466.412890625696,14466.412890625696,30.848163381587696,220,1157,44.664128906256956
100.0,0.08,400.0,2,per_order,False,4463.221484375725,14463.221484375725,30.79388362914517,228,1201,44.63221484375725
100.0,0.08,400.0,3,per_order,False,4450.421875000742,14450.421875000742,32.52233909382671,229,1216,44.504218750007425
100.0,0.08,400.0,4,per_order,False,4450.421875000742,14450.421875000742,32.52233909382671,229,1216,44.504218750007425
100.0,0.08,500.0,3,basket,False,4450.415234375607,14450.415234375607,34.0475502524004,195,1146,44.50415234375607
100.0,0.08,500.0,2,basket,False,4450.415234375607,14450.415234375607,34.0475502524004,195,1146,44.50415234375607
100.0,0.08,500.0,4,basket,False,4450.415234375607,14450.415234375607,34.0475502524004,195,1146,44.50415234375607
100.0,0.08,500.0,4,per_order,False,4296.8125000006985,14296.812500000698,32.506749393053454,220,1161,42.968125000006985
100.0,0.08,500.0,3,per_order,False,4296.8125000006985,14296.812500000698,32.506749393053454,220,1161,42.968125000006985
75.0,0.1,300.0,2,per_order,False,4221.0253906258,14221.0253906258,38.00875838563429,293,1211,42.210253906258004
50.0,0.08,300.0,4,per_order,False,4205.5972656255835,14205.597265625584,26.10122597088998,323,1200,42.05597265625583
50.0,0.08,300.0,2,per_order,False,4205.5972656255835,14205.597265625584,26.10122597088998,323,1200,42.05597265625583
50.0,0.08,300.0,3,per_order,False,4205.5972656255835,14205.597265625584,26.10122597088998,323,1200,42.05597265625583
100.0,0.08,400.0,2,basket,False,4188.020703125643,14188.020703125643,30.81824972020579,195,1188,41.88020703125643
100.0,0.08,400.0,4,basket,False,4188.020703125643,14188.020703125643,30.81824972020579,195,1188,41.88020703125643
100.0,0.08,400.0,3,basket,False,4188.020703125643,14188.020703125643,30.81824972020579,195,1188,41.88020703125643
75.0,0.1,300.0,4,per_order,False,4127.025390625804,14127.025390625804,38.966877428800075,293,1214,41.27025390625804
75.0,0.1,300.0,3,per_order,False,4127.025390625804,14127.025390625804,38.966877428800075,293,1214,41.27025390625804
100.0,0.1,300.0,4,per_order,False,4119.019531250915,14119.019531250915,41.45462158738788,253,1242,41.19019531250915
100.0,0.1,300.0,3,per_order,False,4119.019531250915,14119.019531250915,41.45462158738788,253,1242,41.19019531250915
