timestamp,Open,High,Low,Close,Volume
2026-07-19 01:45:00,64769.93,64782.19,64765.99,64765.99,89.45087
2026-07-19 02:00:00,64766.0,64967.25,64700.84,64892.08,313.17912
2026-07-19 02:15:00,64892.08,64920.0,64799.96,64822.26,62.4548
2026-07-19 02:30:00,64822.25,64950.0,64822.25,64835.76,121.47972
2026-07-19 02:45:00,64835.77,64862.39,64822.24,64826.01,76.97763
2026-07-19 03:00:00,64826.01,64842.92,64725.57,64731.9,109.99426
2026-07-19 03:15:00,64731.91,64731.91,64620.44,64662.63,144.82455
2026-07-19 03:30:00,64662.64,64689.33,64648.1,64661.99,125.99191
2026-07-19 03:45:00,64661.99,64706.18,64661.99,64706.18,35.30312
2026-07-19 04:00:00,64706.18,64706.18,64610.89,64644.06,57.28331
2026-07-19 04:15:00,64644.05,64715.53,64644.05,64713.88,58.76925
2026-07-19 04:30:00,64713.88,64795.43,64694.72,64762.01,106.3422
2026-07-19 04:45:00,64762.0,64782.06,64714.54,64720.17,26.92108
2026-07-19 05:00:00,64720.17,64794.0,64720.17,64794.0,62.80996
2026-07-19 05:15:00,64794.0,64815.65,64714.0,64714.01,51.29834
2026-07-19 05:30:00,64714.0,64714.01,64676.0,64699.99,31.37178
2026-07-19 05:45:00,64699.99,64746.71,64699.99,64724.01,60.79525
2026-07-19 06:00:00,64724.0,64724.01,64694.66,64721.49,78.85862
2026-07-19 06:15:00,64721.5,64759.33,64721.49,64730.01,34.04455
2026-07-19 06:30:00,64730.01,64758.83,64716.57,64729.05,74.72965
2026-07-19 06:45:00,64729.05,64731.4,64704.98,64711.69,57.1625
2026-07-19 07:00:00,64711.69,64718.0,64690.0,64693.88,53.87083
2026-07-19 07:15:00,64693.87,64718.0,64691.28,64717.99,85.3202
2026-07-19 07:30:00,64717.99,64784.0,64711.1,64768.23,69.46617
2026-07-19 07:45:00,64768.23,64768.23,64675.0,64711.05,192.61733
2026-07-19 08:00:00,64711.04,64726.52,64670.65,64705.15,347.09051
2026-07-19 08:15:00,64705.15,64705.16,64631.54,64670.0,115.88637
2026-07-19 08:30:00,64670.01,64674.71,64640.0,64658.07,70.31634
2026-07-19 08:45:00,64658.07,64743.0,64658.06,64707.49,69.3691
2026-07-19 09:00:00,64707.48,64725.74,64645.2,64645.21,71.20173
2026-07-19 09:15:00,64645.2,64645.21,64550.0,64578.0,86.56694
2026-07-19 09:30:00,64577.99,64602.61,64501.0,64520.29,108.64587
2026-07-19 09:45:00,64520.3,64543.16,64500.0,64509.99,126.52018
2026-07-19 10:00:00,64510.0,64591.46,64482.0,64575.57,87.05817
2026-07-19 10:15:00,64575.56,64627.09,64575.56,64627.08,46.04262
2026-07-19 10:30:00,64627.08,64679.5,64616.0,64671.74,56.87165
2026-07-19 10:45:00,64671.73,64700.0,64574.0,64595.0,144.6712
2026-07-19 11:00:00,64595.0,64635.0,64520.0,64583.18,66.74728
2026-07-19 11:15:00,64583.17,64636.28,64536.63,64549.99,43.9628
2026-07-19 11:30:00,64550.0,64558.6,64508.63,64528.0,37.95752
2026-07-19 11:45:00,64528.0,64541.38,64445.0,64467.64,60.02611
2026-07-19 12:00:00,64467.65,64467.65,64348.07,64348.08,103.92504
2026-07-19 12:15:00,64348.08,64451.84,64285.24,64315.0,219.15315
2026-07-19 12:30:00,64314.99,64442.42,64311.29,64416.4,128.4771
2026-07-19 12:45:00,64416.39,64466.56,64355.0,64441.15,97.73061
2026-07-19 13:00:00,64441.16,64464.98,64348.0,64356.16,53.73812
2026-07-19 13:15:00,64356.16,64423.89,64307.72,64412.0,103.23587
2026-07-19 13:30:00,64412.0,64475.0,64406.73,64422.78,96.69227
2026-07-19 13:45:00,64422.78,64516.33,64413.37,64483.31,72.27966
2026-07-19 14:00:00,64483.32,64554.0,64477.0,64544.29,73.34639
2026-07-19 14:15:00,64544.28,64551.95,64425.24,64470.0,112.11126
2026-07-19 14:30:00,64470.0,64549.3,64455.0,64528.22,71.77252
2026-07-19 14:45:00,64528.22,64663.04,64520.0,64593.07,71.74043
2026-07-19 15:00:00,64593.07,64620.0,64512.99,64581.7,88.83102
2026-07-19 15:15:00,64581.7,64596.26,64505.21,64510.71,50.48967
2026-07-19 15:30:00,64510.71,64588.47,64500.0,64568.39,77.06858
2026-07-19 15:45:00,64568.39,64589.76,64542.0,64585.32,43.91531
2026-07-19 16:00:00,64585.33,64644.0,64505.21,64555.06,151.5314
2026-07-19 16:15:00,64555.05,64632.36,64518.0,64611.77,76.02951
2026-07-19 16:30:00,64611.78,64611.78,64531.15,64601.98,50.93267
2026-07-19 16:45:00,64601.99,64610.0,64519.18,64538.72,43.14461
2026-07-19 17:00:00,64538.72,64702.44,64406.3,64702.44,164.10162
2026-07-19 17:15:00,64702.43,64752.0,64610.94,64649.65,115.72621
2026-07-19 17:30:00,64649.64,64725.52,64610.0,64622.48,45.08001
2026-07-19 17:45:00,64622.48,64622.48,64538.0,64547.86,77.288
2026-07-19 18:00:00,64547.86,64554.0,64280.0,64476.86,192.70088
2026-07-19 18:15:00,64476.86,64488.0,64400.0,64400.0,79.30892
2026-07-19 18:30:00,64400.01,64444.66,64345.09,64427.99,25.08618
2026-07-19 18:45:00,64428.0,64443.0,64364.88,64419.99,24.61566
2026-07-19 19:00:00,64420.0,64462.0,64352.0,64448.33,44.68459
2026-07-19 19:15:00,64448.32,64467.82,64417.18,64437.97,27.01233
2026-07-19 19:30:00,64437.98,64456.63,64410.51,64415.22,20.89649
2026-07-19 19:45:00,64415.22,64462.58,64390.86,64462.58,22.43364
2026-07-19 20:00:00,64462.58,64560.0,64462.57,64505.17,43.19189
2026-07-19 20:15:00,64505.17,64524.87,64474.0,64494.0,23.85111
2026-07-19 20:30:00,64494.01,64531.46,64482.0,64499.12,11.20627
2026-07-19 20:45:00,64499.13,64536.0,64480.94,64535.99,22.27675
2026-07-19 21:00:00,64536.0,64562.55,64485.27,64538.97,44.17068
2026-07-19 21:15:00,64538.98,64538.98,64462.22,64472.0,18.79613
2026-07-19 21:30:00,64472.0,64472.0,64350.0,64352.95,74.56504
2026-07-19 21:45:00,64352.95,64429.99,64350.25,64415.75,83.96806
2026-07-19 22:00:00,64415.75,64683.32,64347.89,64662.73,280.35417
2026-07-19 22:15:00,64662.72,64900.0,64662.72,64760.01,273.64561
2026-07-19 22:30:00,64760.0,64817.35,64683.01,64807.43,177.4058
2026-07-19 22:45:00,64807.44,64809.6,64668.06,64674.67,96.88321
2026-07-19 23:00:00,64674.66,64713.3,64572.0,64696.01,71.38562
2026-07-19 23:15:00,64696.01,64712.0,64642.0,64674.0,43.09214
2026-07-19 23:30:00,64673.99,64766.0,64644.3,64748.11,98.69825
2026-07-19 23:45:00,64748.11,64772.0,64656.51,64722.54,106.46419
2026-07-20 00:00:00,64722.55,65057.08,64572.0,65020.0,304.23976
2026-07-20 00:15:00,65020.0,65107.99,64804.76,64876.01,213.56801
2026-07-20 00:30:00,64876.01,64938.0,64790.01,64822.24,79.86402
2026-07-20 00:45:00,64822.24,64822.24,64416.0,64553.84,138.38756
2026-07-20 01:00:00,64553.85,65029.4,64510.0,64808.0,115.11154
2026-07-20 01:15:00,64808.01,64946.0,64690.0,64850.42,114.15288
2026-07-20 01:30:00,64850.43,64931.34,64704.41,64763.99,72.70075
2026-07-20 01:45:00,64763.99,64775.36,64506.0,64628.01,99.32581
2026-07-20 02:00:00,64628.01,64950.88,64624.0,64826.01,119.5331
2026-07-20 02:15:00,64826.01,64830.0,64585.0,64674.01,87.83768
2026-07-20 02:30:00,64674.0,64886.0,64660.0,64836.0,73.69038
2026-07-20 02:45:00,64836.0,64964.0,64827.19,64827.2,97.86585
2026-07-20 03:00:00,64827.19,64881.29,64776.0,64843.96,55.49842
2026-07-20 03:15:00,64843.96,64887.98,64644.01,64688.01,85.75449
2026-07-20 03:30:00,64688.0,64902.63,64666.0,64902.63,68.58891
2026-07-20 03:45:00,64902.63,64914.93,64785.1,64869.8,130.69332
2026-07-20 04:00:00,64869.79,64869.99,64698.26,64705.37,108.16853
2026-07-20 04:15:00,64705.38,64778.0,64640.0,64759.41,59.06671
2026-07-20 04:30:00,64759.4,64814.0,64704.01,64733.98,53.86931
2026-07-20 04:45:00,64733.54,64733.54,64540.0,64540.01,112.27621
2026-07-20 05:00:00,64540.0,64562.0,64082.7,64244.0,415.82611
2026-07-20 05:15:00,64244.0,64388.0,64094.01,64183.21,306.74783
2026-07-20 05:30:00,64183.21,64260.04,64108.0,64211.65,154.4496
2026-07-20 05:45:00,64211.65,64211.66,64099.46,64128.0,101.44837
2026-07-20 06:00:00,64128.01,64200.0,64082.49,64193.57,93.36984
2026-07-20 06:15:00,64193.58,64220.0,64100.0,64136.01,109.85476
2026-07-20 06:30:00,64136.0,64153.71,63766.66,63826.0,491.43135
2026-07-20 06:45:00,63826.01,63942.81,63765.83,63917.98,157.48223
2026-07-20 07:00:00,63917.99,64008.08,63916.08,63975.34,71.22515
2026-07-20 07:15:00,63975.34,64161.04,63896.0,64130.72,381.69371
